PID,SMILES,Polymer Class,Cp,std
P010001,*C*,Polyolefins,1902.8832,148.1136
P010002,*CC(*)C,Polyolefins,1849.328,2.9288
P010007,*CC(*)CCCC,Polyolefins,2129.656,0
P010008,*CC(*)CC(C)C,Polyolefins,1761.0456,15.4808
P010014,*CC(*)(C)C,Polyolefins,1966.48,0
P010070,*/C=C/CC*,Polydienes,2831.3128,0
P010071,*/C=C/CC*,Polydienes,1861.88,0
P020001,*CC(*)c1ccccc1,"Polystyrenes, Polyvinyls",1239.7192,23.4304
P030010,*CC(*)C#N,Polyvinyls,1292.856,0
P030024,*CC(*)OC(C)=O,Polyvinyls,1428.4176,127.612
P030026,*CC(*)OC(=O)c1ccccc1,Polyvinyls,1103.3208,0
P030037,*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,Polyvinyls,979.056,0
P030071,*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,Polyvinyls,1338.0432,0
P030121,*CC(*)OC(=O)c1ccc(CC)cc1,Polyvinyls,1240.9744,0
P030132,*CC(*)OC(=O)c1ccc(C(C)C)cc1,Polyvinyls,1245.9952,0
P030177,*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,"Polyacrylics, Polyvinyls",1727.992,0
P040002,*CC(*)C(=O)OC,"Polyacrylics, Polyvinyls",1794.936,26.7776
P040003,*CC(*)C(=O)OCC,"Polyacrylics, Polyvinyls",1790.3336,6.276
P040006,*CC(*)C(=O)OCCCC,"Polyacrylics, Polyvinyls",1810.8352,10.46
P040007,*CC(*)C(=O)OCC(C)C,"Polyacrylics, Polyvinyls",1809.58,0
P040047,*CC(*)(C)C(=O)O,"Polyacrylics, Polyvinyls",1306.2448,0
P040048,*CC(*)(C)C(=O)OC,"Polyacrylics, Polyvinyls",1320.4704,119.6624
P040049,*CC(*)(C)C(=O)OCC,"Polyacrylics, Polyvinyls",1465.6552,0.8368
P040052,*CC(*)(C)C(=O)OCCCC,"Polyacrylics, Polyvinyls",1810.4168,36.8192
P040054,*CC(*)(C)C(=O)OCC(C)C,"Polyacrylics, Polyvinyls",1605.8192,0
P040056,*CC(*)(C)C(=O)OCCCCCC,"Polyacrylics, Polyvinyls",1891.168,0
P040060,*CC(*)(C)C(=O)OCCCCCCCCCCCC,"Polyacrylics, Polyvinyls",2122.5432,0
P040339,*CC(*)(C)C(=O)OCC1CO1,"Polyacrylics, Polyvinyls",1619.208,0
P050001,*CC(*)F,"Polyvinyls, Polyhalo-olefins",1299.132,0
P050002,*CC(*)Cl,"Polyvinyls, Polyhalo-olefins",928.848,106.692
