PID,SMILES,Cp,No Zero Cp Group
P010001,*C*,1807.36,True
P010002,*CC(*)C,1707.54,True
P010003,*CC(*)CC,1732.5,True
P010004,*CC(*)CCC,1747.47,True
P010006,*CC(*)C(C)C,1687.58,True
P010007,*CC(*)CCCC,1757.45,True
P010008,*CC(*)CC(C)C,1707.54,True
P010009,*CC(*)CCCCC,1764.58,True
P010010,*CC(*)CCC(C)C,1721.8,True
P010011,*CC(*)CCC(C)CC,1732.5,True
P010012,*CC(*)CCCCCCC,1774.09,True
P010013,*CC(*)CCCCCCCC,1777.41,True
P010014,*CC(*)(C)C,1663.87,True
P010015,*CC(*)(C)CC,1692.57,True
P010016,*CCC(*)(C)C,1692.57,True
P010017,*CC(C)C(*)(C)C,1661.79,True
P010018,*CCCC(*)(C)C,1711.7,True
P010019,*CCCC(*)(C)CC,1725.37,True
P010020,*CCCCCCCC(*)C,1774.09,True
P010021,*CC(*)C1CC1,1574.57,True
P010022,*CC(*)C1CCC1,1614.32,True
P010023,*CC(*)C1CCCC1,1642.47,True
P010024,*CC(*)CC1CCCC1,1663.46,True
P010025,*CC(*)C1CCCCC1,1663.46,True
P010026,*CC(*)CC1CCCCC1,1679.71,True
P010027,*CC(*)Cc1ccccc1,1285.44,True
P010028,*CC(*)CCc1ccccc1,1340.81,True
P010029,*CC(*)C(C)c1ccccc1,1309.04,True
P010033,*CC1CCC(*)C1,1614.32,True
P010040,*CC(*)CCCCCC,1769.93,True
P010042,*CC(*)CCCCCCCCCC,1782.4,True
P010043,*CC(*)CCCCCCCCCCCC,1785.97,True
P010044,*CC(*)CCCCCCCCCCCCCCCC,1790.72,True
P010048,*CC(*)CCCC(C)C,1732.5,True
P010049,*CC(*)C(C)CC,1707.54,True
P010050,*CC(*)C(CC)CC,1721.8,True
P010051,*CC(*)CC(CC)CC,1732.5,True
P010052,*CC(*)CC(C)CC,1721.8,True
P010055,*CC(*)CC(C)(C)C,1682.59,True
P010056,*CC(*)CC(C)(C)CC,1698.19,True
P010057,*CC(*)CCCC(C)(C)C,1710.32,True
P010060,*CC(*)CCC1CCCCC1,1692.66,True
P010061,*CC(*)CCCC1CCCCC1,1703.22,True
P010062,*CC1(*)CCC(C)CC1,1628.52,True
P010065,*CC(*)(C)CCC,1711.7,True
P010068,*/C=C/CCC*,1664.12,True
P010070,*/C=C/CC*,1626.98,True
P010071,*/C=C/CC*,1626.98,True
P010072,*/C=C/CC*,1626.98,True
P010073,*C(*)C,1657.64,True
P010074,*/C=C/*,1432.63,True
P010075,*CCC(C)C(*)C,1707.54,True
P010076,*CCC1CCCC1*,1642.47,True
P010077,*/C=C/CCCCCCCC*,1736.78,True
P010078,*CC(*)CCCCCCCCCCCCCCCCCCCC,1793.75,True
P010079,*/C=C/CCCCCCCCCC*,1748.69,True
P010080,*CC(*)CCCCCCCCCCCCCC,1788.64,True
P010081,*/C=C/CCCCCC*,1718.82,True
P010082,*/C=C/CCC*,1664.12,True
P010083,*CC(*)C(C)(C)C,1661.79,True
P010085,*/C=C/CCCC*,1688.58,True
P010086,*CC(*)CCCCCCCCCCCCC,1787.39,True
P010088,*C(*)CC,1707.54,True
P010089,*CC(*)CCCCCCCCCCC,1784.32,True
P010090,*CC(*)CCCCCCCCC,1780.14,True
P010091,*CC(*)C1CCCC(C)C1,1645.9,True
P010092,*CC(*)C1CCC(C)CC1,1645.9,True
P010093,*CC(*)C1CC=CCC1,1570.59,True
P010096,*CC/C=C(/*)CCCCCCC,1726.21,True
P010097,*CC/C=C(/*)C(C)C,1635.19,True
P010098,*/C=C/CCC*,1664.12,True
P010099,*CC(*)CCC(C)(C)C,1698.19,True
P010100,*C1CCC1*,1514.2,True
P010101,*/C=C/*,1432.63,True
P010102,*/C=C/CCCCC*,1705.9,True
P010103,*/C=C/C1CCC(*)C1,1535.32,True
P010104,*/C=C/C(C*)C(C)CC,1642.59,True
P010105,*CC/C=C(/*)CCC,1678.87,True
P010106,*/C=C/CCCCCCCCCC*,1748.69,True
P014362,*/C=C/*,1432.63,True
P014500,*CC1(*)CCCCC1,1646.11,True
P014503,*/C=C/C(C)CCCCC*,1695.0,True
P014525,*CC/C=C(/*)C(C)(C)C,1622.17,True
P020001,*CC(*)c1ccccc1,1215.14,True
P020002,*CC(*)c1ccccc1C,1274.86,True
P020003,*CC(*)c1ccccc1CC,1331.36,True
P020005,*CC(*)c1ccccc1COC,1300.98,True
P020006,*CC(*)c1ccccc1COCC,1344.76,True
P020007,*CC(*)c1ccccc1COCCC,1381.58,True
P020008,*CC(*)c1ccccc1COC(C)C,1357.75,True
P020009,*CC(*)c1ccccc1COCCCC,1412.96,True
P020010,*CC(*)c1ccccc1COCCCCC,1440.04,True
P020011,*CC(*)c1ccccc1COCCC(C)C,1419.48,True
P020012,*CC(*)c1ccccc1COCc1ccccc1,1216.52,True
P020013,*CC(*)c1ccccc1COCCc1ccccc1,1251.29,True
P020014,*CC(*)c1ccccc1C(=O)NC,1165.96,True
P020015,*CC(*)c1ccccc1C(=O)N(C)C,1265.24,True
P020016,*CC(*)c1ccccc1C(=O)Nc1ccccc1,1086.83,True
P020017,*CC(*)c1ccccc1C(=O)O,1145.77,True
P020018,*CC(*)c1ccccc1C(=O)OC,1212.54,True
P020019,*CC(*)c1ccccc1C(=O)OCC,1259.89,True
P020020,*CC(*)c1ccccc1C(=O)OCCC,1300.25,True
P020021,*CC(*)c1ccccc1C(=O)OC(C)C,1278.18,True
P020022,*CC(*)c1ccccc1C(=O)OCCCC,1335.08,True
P020023,*CC(*)c1ccccc1C(=O)OCC(C)C,1314.51,True
