SMILES,Cp
*CC(*)(C)C,1751.4745422946773
*CC(*)C(=O)OC,1348.4090549778675
*CCO*,1909.5279761360584
*CCCCO*,1980.6670224798174
*Oc1ccc(*)cc1,1285.2583882903546
*c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1151.9758907046826
*CCCNC(=O)O*,1262.5599356744447
*CC(*)C(=O)O,1323.3872712650646
*CCCCCCCCCCCCCC(=O)O*,1772.5275176641194
*CC(*)OC(C)=O,1357.1073392438518
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,1513.3568493190767
*CC(*)OC(=O)c1ccc(CC)cc1,1444.6863442651704
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1454.9608166573203
*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,1727.9262628615875
*CC(*)C(=O)OCC(C)C,1577.0448185039493
*CC(*)(C)C(=O)O,1382.6079230005064
*CC(*)(C)C(=O)OCC(C)C,1605.2459144325858
*CC(*)F,1357.573804209323
*CC(*)(F)F,1065.062206629374
*C(F)C(*)(F)F,917.5933544044287
*C(F)(F)C(*)(F)Cl,785.8216928568804
*CC/C=C(/*)C,1916.4979617049037
*CC(*)C=C,1627.8755099831951
*CCCO*,1702.4518189841133
*CC(CCl)(CCl)CO*,1022.5011177524927
*CCCCCCCCO*,1641.804435588796
*Oc1c(OC)cc(*)cc1OC,1320.0290173110734
*CCOCO*,1508.2863977951183
*CCCCOCO*,1771.756180716399
*c1ccc(Oc2ccc(-c3nc4cc(-c5ccc6nc(-c7ccccc7)c(*)nc6c5)ccc4nc3-c3ccccc3)cc2)cc1,1311.67580379243
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,1286.8141609903362
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,1202.4665508525895
*Oc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(*)cc3)c(C(=O)O)cc2C(=O)O)cc1,1200.4551252256715
*CCOC(=O)c1ccc(C(=O)O*)cc1,1217.386780880819
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,1341.8635886363681
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,1268.8626551305051
*CCCCCCCCCCCCC(=O)O*,1679.130404094589
*CCCOC(=O)c1ccc(C(=O)O*)cc1,1217.0096751855388
*CC(*)(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC,1760.0623238056457
*CC(*)(CC(=O)OCCCCCCCCC)C(=O)OCCCCCCCCC,1762.8502320634311
*CC(*)(CC(=O)Oc1ccc(OCCCCCCC)cc1)C(=O)Oc1ccc(OCCCCCCC)cc1,1631.6578496387042
*CC1=CC2C(=NC(O2)c2cccc(c2)C2N=C3C(O2)C=C(C=C3)*)C=C1,1353.71751328426
*Oc1ccc(c(c1)NC(=O)C1C(C(=O)O)C2C1C1C=CC2C(C1C(=O)O)C(=O)Nc1cc(*)ccc1N)N,1302.757407542928
*Nc1ccc(*)cc1,1373.8220371008495
*c1cccc(-c2nnc3c4ccccc4nc(-c4ccc(-c5nc6ccccc6c6nnc(*)n56)cc4)n23)c1,1250.6033128395513
*CC(*)(Cl)Cl,815.7764702543905
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,1457.8985843875926
*CC(=O)O*,1193.979416462409
*CCCC(=O)O*,1564.5138379284872
*CCCCC(=O)O*,1576.3770412792899
*CCCCCCCCCCC(=O)O*,1771.4347913633505
*CCCCCCC(=O)O*,1532.5042006904887
*CCCCCCCC(=O)O*,1755.5222111555343
*CCCCCCCCC(=O)O*,1663.2516201482947
*CCCCCCCCCC(=O)O*,1750.5030329775614
*CCCCCCCCCCCC(=O)O*,1932.499513252675
*CCC(=O)O*,1360.7819857888303
*CCCCCCNC(=O)CCCCC(=O)N*,1644.0454048679983
*CC(*)(C)C(=O)OC(OCC)C(F)(F)F,1295.0722867410218
*CC(C)(C)C1CC=C(*)CC1,1720.3408919768906
*c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc5c(-c6ccccc6)cc(*)nc5cc4n3)cc2)cc1,1287.423073202992
*c1ccc(C(=O)NNC(=O)c2ccc(C(=O)NNC(=O)c3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc2)cc1,1256.2929032261363
*CC(C)CNC(=O)O*,1502.4517744500515
