SMILES,Cp,Molar Mass (g/mol)
*C*,1807.36,14.03
*CC(*)C,1815.44,42.08
*CC(*)CC,1813.42,56.1
*CC(*)CCC,1812.21,70.13
*CC(*)C(C)C,1817.05,70.13
*CC(*)CCCC,1811.4,84.16
*CC(*)CC(C)C,1815.44,84.16
*CC(*)CCCCC,1810.82,98.18
*CC(*)CCC(C)C,1814.28,98.18
*CC(*)CCC(C)CC,1813.42,112.21
*CC(*)CCCCCCC,1810.05,126.23
*CC(*)CCCCCCCC,1809.78,140.26
*CC(*)(C)C,1829.28,56.1
*CC(*)(C)CC,1824.9,70.13
*CCC(*)(C)C,1824.9,70.13
*CC(C)C(*)(C)C,1826.01,84.16
*CCCC(*)(C)C,1821.97,84.16
*CCCC(*)(C)CC,1819.89,98.18
*CCCCCCCC(*)C,1810.05,126.23
*CC(*)C1CC1,1571.63,68.11
*CC(*)C1CCC1,1611.88,82.14
*CC(*)C1CCCC1,1640.39,96.17
*CC(*)CC1CCCC1,1661.65,110.19
*CC(*)C1CCCCC1,1661.65,110.19
*CC(*)CC1CCCCC1,1678.1,124.22
*CC(*)Cc1ccccc1,1338.75,118.17
*CC(*)CCc1ccccc1,1388.47,132.2
*CC(*)C(C)c1ccccc1,1391.04,132.2
*CC1CCC(*)C1,1611.88,82.14
*CC(*)CCCCCC,1810.39,112.21
*CC(*)CCCCCCCCCC,1809.38,168.31
*CC(*)CCCCCCCCCCCC,1809.09,196.36
*CC(*)CCCCCCCCCCCCCCCC,1808.7,252.47
*CC(*)CCCC(C)C,1813.42,112.21
*CC(*)C(C)CC,1815.44,84.16
*CC(*)C(CC)CC,1814.28,98.18
*CC(*)CC(CC)CC,1813.42,112.21
*CC(*)CC(C)CC,1814.28,98.18
*CC(*)CC(C)(C)C,1823.35,98.18
*CC(*)CC(C)(C)CC,1821.35,112.21
*CC(*)CCCC(C)(C)C,1819.79,126.23
*CC(*)CCC1CCCCC1,1691.21,138.24
*CC(*)CCCC1CCCCC1,1701.91,152.27
*CC1(*)CCC(C)CC1,1669.72,110.19
*CC(*)(C)CCC,1821.97,84.16
*/C=C/CCC*,1929.85,68.11
*/C=C/CC*,1961.62,54.09
*/C=C/CC*,1961.62,54.09
*/C=C/CC*,1961.62,54.09
*C(*)C,1819.48,28.05
*/C=C/*,2127.82,26.04
*CCC(C)C(*)C,1815.44,84.16
*CCC1CCCC1*,1640.39,96.17
*/C=C/CCCCCCCC*,1867.71,138.24
*CC(*)CCCCCCCCCCCCCCCCCCCC,1808.46,308.57
*/C=C/CCCCCCCCCC*,1857.53,166.3
*CC(*)CCCCCCCCCCCCCC,1808.87,224.42
*/C=C/CCCCCC*,1883.08,110.19
*/C=C/CCC*,1929.85,68.11
*CC(*)C(C)(C)C,1826.01,84.16
*/C=C/CCCC*,1908.94,82.14
*CC(*)CCCCCCCCCCCCC,1808.97,210.39
*C(*)CC,1815.44,42.08
*CC(*)CCCCCCCCCCC,1809.22,182.34
*CC(*)CCCCCCCCC,1809.56,154.29
*CC(*)C1CCCC(C)C1,1680.84,124.22
*CC(*)C1CCC(C)CC1,1680.84,124.22
*CC(*)C1CC=CCC1,1736.06,108.18
*CC/C=C(/*)CCCCCCC,1816.12,152.27
*CC/C=C(/*)C(C)C,1824.76,96.17
*/C=C/CCC*,1929.85,68.11
*CC(*)CCC(C)(C)C,1821.35,112.21
*C1CCC1*,1510.5,54.09
*/C=C/*,2127.82,26.04
*/C=C/CCCCC*,1894.12,96.17
*/C=C/C1CCC(*)C1,1725.44,94.15
*/C=C/C(C*)C(C)CC,1889.25,110.19
*CC/C=C(/*)CCC,1821.23,96.17
*/C=C/CCCCCCCCCC*,1857.53,166.3
*/C=C/*,2127.82,26.04
*CC1(*)CCCCC1,1646.11,96.17
*/C=C/C(C)CCCCC*,1877.26,124.22
*CC/C=C(/*)C(C)(C)C,1830.62,110.19
*CC(*)c1ccccc1,1275.64,104.14
*CC(*)c1ccccc1C,1365.74,118.17
*CC(*)c1ccccc1CC,1412.6,132.2
*CC(*)c1ccccc1COC,1435.4,148.2
*CC(*)c1ccccc1COCC,1467.56,162.22
*CC(*)c1ccccc1COCCC,1494.6,176.25
*CC(*)c1ccccc1COC(C)C,1496.53,176.25
*CC(*)c1ccccc1COCCCC,1517.65,190.27
*CC(*)c1ccccc1COCCCCC,1537.54,204.3
*CC(*)c1ccccc1COCCC(C)C,1539.21,204.3
*CC(*)c1ccccc1COCc1ccccc1,1313.18,224.29
*CC(*)c1ccccc1COCCc1ccccc1,1342.26,238.31
*CC(*)c1ccccc1C(=O)NC,1280.04,161.2
*CC(*)c1ccccc1C(=O)N(C)C,1396.73,175.22
*CC(*)c1ccccc1C(=O)Nc1ccccc1,1177.08,223.26
*CC(*)c1ccccc1C(=O)O,1186.94,148.15
*CC(*)c1ccccc1C(=O)OC,1324.21,162.18
*CC(*)c1ccccc1C(=O)OCC,1362.67,176.21
*CC(*)c1ccccc1C(=O)OCCC,1395.45,190.23
*CC(*)c1ccccc1C(=O)OC(C)C,1397.24,190.23
*CC(*)c1ccccc1C(=O)OCCCC,1423.74,204.26
*CC(*)c1ccccc1C(=O)OCC(C)C,1425.4,204.26
*CC(*)c1ccccc1C(=O)OCCCCC,1448.39,218.28
*CC(*)c1ccccc1C(=O)OCCC(C)C,1449.95,218.28
*CC(*)c1ccccc1C(=O)OCCCCCC,1470.06,232.31
*CC(*)c1ccccc1C(=O)Oc1ccccc1,1209.48,224.25
*CC(*)c1ccccc1C(=O)OCCN(C)C,1450.68,219.28
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,1450.68,219.28
*CC(*)c1ccccc1OC,1396.51,134.17
*CC(*)c1ccccc1Cl,1103.65,138.59
*CC(*)c1ccccc1F,1299.04,122.14
*CC(*)c1cccc(C)c1,1365.74,118.17
*CC(*)c1cccc(CC)c1,1412.6,132.2
*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,1181.49,256.33
*CC(*)c1cccc(Cl)c1,1103.65,138.59
*CC(*)c1cccc(F)c1,1299.04,122.14
*CC(*)c1ccc(C)cc1,1365.74,118.17
*CC(*)c1ccc(CC)cc1,1412.6,132.2
*CC(*)c1ccc(C(C)C)cc1,1452.79,146.22
*CC(*)c1ccc(CCCC)cc1,1481.7,160.25
*CC(*)c1ccc(C(C)(C)C)cc1,1489.38,160.25
*CC(*)c1ccc(C(C)CC)cc1,1483.83,160.25
*CC(*)c1ccc(CCCCCC)cc1,1530.22,188.3
*CC(*)c1ccc(CCCCCCCC)cc1,1566.15,216.35
*CC(*)c1ccc(CCCCCCCCC)cc1,1580.84,230.38
*CC(*)c1ccc(CCCCCCCCCC)cc1,1593.84,244.4
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,1615.82,272.46
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,1633.7,300.51
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,1648.53,328.56
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,1661.02,356.61
*CC(*)c1ccc(-c2ccccc2)cc1,1208.69,180.24
*CC(*)c1ccc(COCCOCC)cc1,1525.88,206.27
*CC(*)c1ccc(C#N)cc1,1167.97,129.16
*CC(*)c1ccc(Cl)cc1,1103.65,138.59
*CC(*)c1ccc(Br)cc1,1115.03,183.04
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,1400.66,472.21
*CC(*)c1ccc(/C(C)=N/O)cc1,1320.12,161.2
*CC(*)c1ccc(C(C)(C)O)cc1,1414.97,162.22
*CC(*)c1ccc(C(C)(O)CC)cc1,1446.2,176.25
*CC(*)c1ccc(C(C)(O)CCC)cc1,1472.82,190.27
*CC(*)c1ccc(C(C)(O)CCCC)cc1,1495.79,204.3
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,1515.81,218.33
*CC(*)c1ccc(C(O)CCN(C)C)cc1,1493.68,205.29
*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,1476.68,245.35
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,1467.44,247.33
*CC(*)c1ccc(COC)cc1,1435.4,148.2
*CC(*)c1ccc(COCCO)cc1,1426.82,178.22
*CC(*)c1ccc(COCCC)cc1,1494.6,176.25
*CC(*)c1ccc(COCCCC)cc1,1517.65,190.27
*CC(*)c1ccc(COCCCCO)cc1,1478.57,206.27
*CC(*)c1ccc(COC(C)CC)cc1,1519.44,190.27
*CC(*)c1ccc(COCCCCCC)cc1,1554.88,218.33
*CC(*)c1ccc(COCCOCCCC)cc1,1559.58,234.33
*CC(*)c1ccc(C(=O)N(C)C)cc1,1396.73,175.22
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,1453.39,203.28
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,1395.4,215.29
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,1442.89,243.34
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,1385.62,217.26
*CC(*)c1ccc(C(=O)OC)cc1,1324.21,162.18
*CC(*)c1ccc(C(=O)OCC)cc1,1362.67,176.21
*CC(*)c1ccc(C(=O)OCCC)cc1,1395.45,190.23
*CC(*)c1ccc(C(=O)OC(C)C)cc1,1397.24,190.23
*CC(*)c1ccc(C(=O)OCCCC)cc1,1423.74,204.26
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,1425.4,204.26
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,1470.06,232.31
*CC(*)c1ccc(C(=O)CC)cc1,1357.31,160.21
*CC(*)c1ccc(C(=O)CCC)cc1,1393.54,174.23
*CC(*)c1ccc(C(=O)CCCC)cc1,1424.38,188.26
*CC(*)c1ccc(C(=O)CCCCC)cc1,1450.93,202.28
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,1494.34,230.34
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,1232.32,222.27
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,1193.59,208.25
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,1246.67,222.27
*CC(*)c1ccc(F)cc1,1299.04,122.14
*CC(*)c1ccc(I)cc1,1157.64,230.04
*CC(*)c1ccc(N(C)C)cc1,1453.87,147.21
*CC(*)c1ccc(OC)cc1,1396.51,134.17
*CC(*)c1ccc(OCC)cc1,1435.4,148.2
*CC(*)c1ccc(OCCC)cc1,1467.56,162.22
*CC(*)c1ccc(OCCCC)cc1,1494.6,176.25
*CC(*)c1ccc(OCCC(C)C)cc1,1519.44,190.27
*CC(*)c1ccc(Oc2ccccc2)cc1,1242.53,196.24
*CC(*)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1181.49,256.33
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,1271.76,226.29
*CC(*)c1ccc([Si](C)(C)C)cc1,1538.2,162.25
*CC(*)c1c(Cl)cccc1Cl,1011.69,173.03
*CC(*)c1ccc(C)cc1C,1451.86,132.2
*CC(*)c1ccc(C(C)C)cc1C(C)C,1561.39,188.3
*CC(*)c1ccc(F)cc1C,1389.52,136.16
*CC(*)c1ccc(Cl)cc1C,1202.33,152.61
*CC(*)c1ccc(Cl)cc1Cl,1011.69,173.03
*CC(*)c1cc(C)ccc1C,1451.86,132.2
*CC(*)c1cc(C(C)(C)C)ccc1C,1544.75,174.27
*CC(*)c1cc(C(C)C)ccc1C(C)C,1561.39,188.3
*CC(*)c1cc(Cl)ccc1Cl,1011.69,173.03
*CC(*)c1cc(F)ccc1F,1330.71,140.13
*CC(*)c1cc(C)ccc1F,1389.52,136.16
*CC(*)c1cc(Br)ccc1OCCCC,1319.51,255.14
*CC(*)c1cc(Br)ccc1OCC,1259.25,227.09
*CC(*)c1cc(Br)ccc1OC,1223.17,213.06
*CC(*)c1cc(Br)ccc1OCCC,1291.13,241.11
*CC(*)c1cc(Br)ccc1OC(C)C,1292.54,241.11
*CC(*)c1cc(Br)ccc1OCCCCC,1344.93,269.17
*CC(*)c1cc(Br)ccc1OCCC(C)C,1346.2,269.17
*CC(*)c1cc(C)cc(C)c1,1451.86,132.2
*CC(*)c1ccc(C)c(C)c1,1451.86,132.2
*CC(*)c1ccc(Cl)c(C)c1,1202.33,152.61
*CC(*)c1ccc(Cl)c(Cl)c1,1011.69,173.03
*CC(*)c1ccc(Cl)c(F)c1,1154.44,156.58
*CC(*)c1c(C)cc(C)cc1C,1555.65,146.22
*CC(*)c1cc(C)c(C)cc1C,1555.65,146.22
*CC(*)c1c(F)c(F)c(F)c(F)c1F,1460.19,195.11
*CC(*)(C)c1ccccc1,1346.28,118.17
*CC(*)(C)c1ccc(C(C)C)cc1,1489.38,160.25
*C(F)(F)C(*)(F)c1ccccc1,1282.76,158.12
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,1424.72,249.09
*CC(*)c1cccc2ccccc12,1155.03,178.22
*CC(*)c1ccc(C(C)=O)cc1,1314.13,146.18
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,1433.85,245.31
*CC(*)(C(=O)OC)c1ccccc1,1310.03,162.18
*CC(*)(C)c1ccc(C)cc1,1419.33,132.2
*C(c1ccccc1)C(*)[N+](=O)[O-],1287.73,149.15
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,1304.93,200.16
*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1,1271.99,238.27
*CC(*)c1ccc2ccccc2c1,1155.03,178.22
*CC(*)c1ccc(O)cc1,1267.31,120.14
*CC(*)c1ccc(OC(C)=O)cc1,1324.21,162.18
*CC(*)c1ccc(CCC)cc1,1450.47,146.22
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,1408.71,416.54
*CC(*)c1ccc(COCC(CC)CCCC)cc1,1585.0,246.38
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,1607.44,290.43
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1,1400.46,404.2
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,1293.0,215.24
*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,1149.28,192.16
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],1275.64,104.14
*CC(*)O,1526.83,44.05
*CC(*)C=O,1468.55,56.06
*CC(*)OC(=O)CCCCCCCCCCC,1693.23,226.35
*CC(*)OC(=O)CCCCCCCCCCCCCCC,1715.9,282.45
*CC(*)OC(=O)CCCCCCCCCCCCCCCCC,1724.16,310.5
*CC(*)C(C)=O,1528.08,70.09
*CC(*)C(=O)C(C)C,1611.37,98.14
*CC(*)(C)C(C)=O,1585.23,84.11
*CC(*)C#N,1240.95,53.06
*CC(*)(C)C#N,1372.63,67.09
*CC(*)n1c2ccccc2c2ccccc21,1179.63,193.24
*CC(*)C[Si](C)(C)C,1895.75,100.18
*CC(*)OC,1762.63,58.08
*CC(*)OCC,1771.33,72.1
*CC(*)OCCCC,1781.42,100.16
