PID,SMILES
P010001,*C*
P010002,*CC(*)C
P010003,*CC(*)CC
P010004,*CC(*)CCC
P010006,*CC(*)C(C)C
P010007,*CC(*)CCCC
P010008,*CC(*)CC(C)C
P010009,*CC(*)CCCCC
P010010,*CC(*)CCC(C)C
P010011,*CC(*)CCC(C)CC
P010012,*CC(*)CCCCCCC
P010013,*CC(*)CCCCCCCC
P010014,*CC(*)(C)C
P010015,*CC(*)(C)CC
P010016,*CCC(*)(C)C
P010017,*CC(C)C(*)(C)C
P010018,*CCCC(*)(C)C
P010019,*CCCC(*)(C)CC
P010020,*CCCCCCCC(*)C
P010021,*CC(*)C1CC1
P010022,*CC(*)C1CCC1
P010023,*CC(*)C1CCCC1
P010024,*CC(*)CC1CCCC1
P010025,*CC(*)C1CCCCC1
P010026,*CC(*)CC1CCCCC1
P010027,*CC(*)Cc1ccccc1
P010028,*CC(*)CCc1ccccc1
P010029,*CC(*)C(C)c1ccccc1
P010033,*CC1CCC(*)C1
P010040,*CC(*)CCCCCC
P010042,*CC(*)CCCCCCCCCC
P010043,*CC(*)CCCCCCCCCCCC
P010044,*CC(*)CCCCCCCCCCCCCCCC
P010048,*CC(*)CCCC(C)C
P010049,*CC(*)C(C)CC
P010050,*CC(*)C(CC)CC
P010051,*CC(*)CC(CC)CC
P010052,*CC(*)CC(C)CC
P010055,*CC(*)CC(C)(C)C
P010056,*CC(*)CC(C)(C)CC
P010057,*CC(*)CCCC(C)(C)C
P010060,*CC(*)CCC1CCCCC1
P010061,*CC(*)CCCC1CCCCC1
P010062,*CC1(*)CCC(C)CC1
P010065,*CC(*)(C)CCC
P010068,*/C=C/CCC*
P010070,*/C=C/CC*
P010071,*/C=C/CC*
P010072,*/C=C/CC*
P010073,*C(*)C
P010074,*/C=C/*
P010075,*CCC(C)C(*)C
P010076,*CCC1CCCC1*
P010077,*/C=C/CCCCCCCC*
P010078,*CC(*)CCCCCCCCCCCCCCCCCCCC
P010079,*/C=C/CCCCCCCCCC*
P010080,*CC(*)CCCCCCCCCCCCCC
P010081,*/C=C/CCCCCC*
P010082,*/C=C/CCC*
P010083,*CC(*)C(C)(C)C
P010085,*/C=C/CCCC*
P010086,*CC(*)CCCCCCCCCCCCC
P010088,*C(*)CC
P010089,*CC(*)CCCCCCCCCCC
P010090,*CC(*)CCCCCCCCC
P010091,*CC(*)C1CCCC(C)C1
P010092,*CC(*)C1CCC(C)CC1
P010093,*CC(*)C1CC=CCC1
P010096,*CC/C=C(/*)CCCCCCC
P010097,*CC/C=C(/*)C(C)C
P010098,*/C=C/CCC*
P010099,*CC(*)CCC(C)(C)C
P010100,*C1CCC1*
P010101,*/C=C/*
P010102,*/C=C/CCCCC*
P010103,*/C=C/C1CCC(*)C1
P010104,*/C=C/C(C*)C(C)CC
P010105,*CC/C=C(/*)CCC
P010106,*/C=C/CCCCCCCCCC*
P014362,*/C=C/*
P014500,*CC1(*)CCCCC1
P014503,*/C=C/C(C)CCCCC*
P014525,*CC/C=C(/*)C(C)(C)C
P020001,*CC(*)c1ccccc1
P020002,*CC(*)c1ccccc1C
P020003,*CC(*)c1ccccc1CC
P020005,*CC(*)c1ccccc1COC
P020006,*CC(*)c1ccccc1COCC
P020007,*CC(*)c1ccccc1COCCC
P020008,*CC(*)c1ccccc1COC(C)C
P020009,*CC(*)c1ccccc1COCCCC
P020010,*CC(*)c1ccccc1COCCCCC
P020011,*CC(*)c1ccccc1COCCC(C)C
P020012,*CC(*)c1ccccc1COCc1ccccc1
P020013,*CC(*)c1ccccc1COCCc1ccccc1
P020014,*CC(*)c1ccccc1C(=O)NC
P020015,*CC(*)c1ccccc1C(=O)N(C)C
P020016,*CC(*)c1ccccc1C(=O)Nc1ccccc1
P020017,*CC(*)c1ccccc1C(=O)O
P020018,*CC(*)c1ccccc1C(=O)OC
P020019,*CC(*)c1ccccc1C(=O)OCC
P020020,*CC(*)c1ccccc1C(=O)OCCC
P020021,*CC(*)c1ccccc1C(=O)OC(C)C
P020022,*CC(*)c1ccccc1C(=O)OCCCC
P020023,*CC(*)c1ccccc1C(=O)OCC(C)C
P020024,*CC(*)c1ccccc1C(=O)OCCCCC
P020025,*CC(*)c1ccccc1C(=O)OCCC(C)C
P020026,*CC(*)c1ccccc1C(=O)OCCCCCC
P020027,*CC(*)c1ccccc1C(=O)Oc1ccccc1
P020028,*CC(*)c1ccccc1C(=O)OCCN(C)C
P020029,*CC(*)c1ccc(C(=O)OCCN(C)C)cc1
P020030,*CC(*)c1ccccc1OC
P020032,*CC(*)c1ccccc1Cl
P020033,*CC(*)c1ccccc1F
P020035,*CC(*)c1cccc(C)c1
P020036,*CC(*)c1cccc(CC)c1
P020037,*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1
P020039,*CC(*)c1cccc(Cl)c1
P020040,*CC(*)c1cccc(F)c1
P020041,*CC(*)c1ccc(C)cc1
P020042,*CC(*)c1ccc(CC)cc1
P020043,*CC(*)c1ccc(C(C)C)cc1
P020045,*CC(*)c1ccc(CCCC)cc1
P020046,*CC(*)c1ccc(C(C)(C)C)cc1
P020047,*CC(*)c1ccc(C(C)CC)cc1
P020049,*CC(*)c1ccc(CCCCCC)cc1
P020050,*CC(*)c1ccc(CCCCCCCC)cc1
P020051,*CC(*)c1ccc(CCCCCCCCC)cc1
P020052,*CC(*)c1ccc(CCCCCCCCCC)cc1
P020053,*CC(*)c1ccc(CCCCCCCCCCCC)cc1
P020054,*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1
P020055,*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1
P020056,*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1
P020058,*CC(*)c1ccc(-c2ccccc2)cc1
P020059,*CC(*)c1ccc(COCCOCC)cc1
P020060,*CC(*)c1ccc(C#N)cc1
P020061,*CC(*)c1ccc(Cl)cc1
P020062,*CC(*)c1ccc(Br)cc1
P020063,*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
P020064,*CC(*)c1ccc(/C(C)=N/O)cc1
P020065,*CC(*)c1ccc(C(C)(C)O)cc1
P020066,*CC(*)c1ccc(C(C)(O)CC)cc1
P020067,*CC(*)c1ccc(C(C)(O)CCC)cc1
P020068,*CC(*)c1ccc(C(C)(O)CCCC)cc1
P020069,*CC(*)c1ccc(C(C)(O)CCCCC)cc1
P020070,*CC(*)c1ccc(C(O)CCN(C)C)cc1
P020071,*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1
P020072,*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1
P020074,*CC(*)c1ccc(COC)cc1
P020075,*CC(*)c1ccc(COCCO)cc1
P020076,*CC(*)c1ccc(COCCC)cc1
P020077,*CC(*)c1ccc(COCCCC)cc1
P020078,*CC(*)c1ccc(COCCCCO)cc1
P020079,*CC(*)c1ccc(COC(C)CC)cc1
P020080,*CC(*)c1ccc(COCCCCCC)cc1
P020083,*CC(*)c1ccc(COCCOCCCC)cc1
P020084,*CC(*)c1ccc(C(=O)N(C)C)cc1
P020085,*CC(*)c1ccc(C(=O)N(CC)CC)cc1
P020086,*CC(*)c1ccc(C(=O)N2CCCCC2)cc1
P020087,*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1
P020088,*CC(*)c1ccc(C(=O)N2CCOCC2)cc1
P020090,*CC(*)c1ccc(C(=O)OC)cc1
P020091,*CC(*)c1ccc(C(=O)OCC)cc1
P020092,*CC(*)c1ccc(C(=O)OCCC)cc1
P020093,*CC(*)c1ccc(C(=O)OC(C)C)cc1
P020094,*CC(*)c1ccc(C(=O)OCCCC)cc1
P020095,*CC(*)c1ccc(C(=O)OCC(C)C)cc1
P020096,*CC(*)c1ccc(C(=O)OCCCCCC)cc1
P020098,*CC(*)c1ccc(C(=O)CC)cc1
P020099,*CC(*)c1ccc(C(=O)CCC)cc1
P020100,*CC(*)c1ccc(C(=O)CCCC)cc1
