PID,SMILES
PID00001,*C*
PID00002,*CC(*)C
PID00003,*CC(*)CC
PID00004,*CC(*)CCC
PID00005,*CC(*)C(C)C
PID00006,*CC(*)CCCC
PID00007,*CC(*)CC(C)C
PID00008,*CC(*)CCCCC
PID00009,*CC(*)CCC(C)C
PID00010,*CC(*)CCC(C)CC
PID00011,*CC(*)CCCCCCC
PID00012,*CC(*)CCCCCCCC
PID00013,*CC(*)(C)C
PID00014,*CC(*)(C)CC
PID00015,*CCC(*)(C)C
PID00016,*CC(C)C(*)(C)C
PID00017,*CCCC(*)(C)C
PID00018,*CCCC(*)(C)CC
PID00019,*CCCCCCCC(*)C
PID00020,*CC(*)C1CC1
PID00021,*CC(*)C1CCC1
PID00022,*CC(*)C1CCCC1
PID00023,*CC(*)CC1CCCC1
PID00024,*CC(*)C1CCCCC1
PID00025,*CC(*)CC1CCCCC1
PID00026,*CC(*)Cc1ccccc1
PID00027,*CC(*)CCc1ccccc1
PID00028,*CC(*)C(C)c1ccccc1
PID00029,*CC1CCC(*)C1
PID00030,*CC(*)CCCCCC
PID00031,*CC(*)CCCCCCCCCC
PID00032,*CC(*)CCCCCCCCCCCC
PID00033,*CC(*)CCCCCCCCCCCCCCCC
PID00034,*CC(*)CCCC(C)C
PID00035,*CC(*)C(C)CC
PID00036,*CC(*)C(CC)CC
PID00037,*CC(*)CC(CC)CC
PID00038,*CC(*)CC(C)CC
PID00039,*CC(*)CC(C)(C)C
PID00040,*CC(*)CC(C)(C)CC
PID00041,*CC(*)CCCC(C)(C)C
PID00042,*CC(*)CCC1CCCCC1
PID00043,*CC(*)CCCC1CCCCC1
PID00044,*CC1(*)CCC(C)CC1
PID00045,*CC(*)(C)CCC
PID00046,*/C=C/CCC*
PID00047,*/C=C/CC*
PID00048,*/C=C/CC*
PID00049,*/C=C/CC*
PID00050,*C(*)C
PID00051,*/C=C/*
PID00052,*CCC(C)C(*)C
PID00053,*CCC1CCCC1*
PID00054,*/C=C/CCCCCCCC*
PID00055,*CC(*)CCCCCCCCCCCCCCCCCCCC
PID00056,*/C=C/CCCCCCCCCC*
